cp_id,cow_scope,cycle_phase,contract_anchor,game_analog,observation_required,options_prelisted,recorded_as
CP-01,HAMBA-A|HAMBA-B|HAMBA-C,intake,identity_profiles[OPEN_API_SOLAR|VENDOR_CLOUD|LOW_POWER_LONG_INTERVAL],none,collar telemetry + RFID + photo match at registration,pass|fail|rematch,event row per attempt
CP-02,HAMBA-A|HAMBA-B|HAMBA-C,weekly,identity_profiles.telemetry_probability,realised read-success rate vs frozen 0.97/0.95/0.91,n/a,weekly aggregate row
CP-03,HAMBA-A|HAMBA-B|HAMBA-C,monthly,portfolio.annual_feed_vet_per_animal_bdt=25000,actual cost lines vs frozen assumption,itemised ledger entry,monthly aggregate + deviations
CP-04,any cow,on health event,evidence clauses of constitution C10,owner_manager (evidence arm),evidence demanded/supplied/accepted/rejected at gate,demand|waive|escalate,gate row + reason <=20 words
CP-05,any cow,on mortality event,claim_acceptance=0.85 payout_fraction=0.8,none,insurance claim filed and outcome,filed|not-filed then accepted|delayed|rejected,decision row + delay_days
CP-06,HAMBA-A|HAMBA-B,monthly,constitutions.manager_effort + manager_priority,owner_manager game (3 actions),owner monitoring-effort choice,low|medium|high,choice row + confidence 1-5
CP-07,HAMBA-C,on sale event,constitutions (coownership clauses),coowner_sale game (3 actions),co-owner sale consent,consent|counter|block,choice row + stated reason
CP-08,any cow,on cash shortfall,portfolio.funded_reserve_bdt=1000000,reserve_factor of active constitution,reserve draw request,outcome approved|denied + amount,row + reason
CP-09,portfolio,cycle end,C10 priority order manager=4 lender=6 hamba=8,settlement waterfall application,actual payment order executed,list order actually paid,ordered payment list
CP-10,any cow,cycle end,purchase_price=140000 base_sale=205000,exit decision,restock or exit,restock|exit|hold,decision row + reason <=20 words
